pair0,pair1,idx
304,373,1341
336,83,1342
345,793,1343
750,259,1344
327,300,1345
257,295,1346
109,303,1347
522,268,1348
65,108,1349
912,581,1350
493,256,1351
334,307,1352
261,816,1353
287,108,1354
293,420,1355
289,279,1356
341,262,1357
769,354,1358
364,284,1359
476,278,1360
278,259,1361
287,573,1362
456,825,1363
257,399,1364
98,622,1365
359,115,1366
343,657,1367
112,261,1368
452,292,1369
289,338,1370
1021,388,1371
670,349,1372
357,298,1373
542,658,1374
257,384,1375
117,320,1376
105,328,1377
105,436,1378
364,298,1379
296,101,1380
540,358,1381
564,256,1382
878,273,1383
114,266,1384
301,755,1385
481,273,1386
751,365,1387
362,262,1388
112,1152,1389
106,263,1390
118,771,1391
109,290,1392
568,259,1393
293,333,1394
336,356,1395
118,330,1396
491,259,1397
291,83,1398
261,1090,1399
328,398,1400
308,380,1401
1018,274,1402
264,420,1403
748,294,1404
99,572,1405
721,256,1406
417,270,1407
116,275,1408
397,262,1409
369,326,1410
460,270,1411
572,271,1412
685,103,1413
258,77,1414
485,259,1415
328,271,1416
419,270,1417
116,273,1418
337,327,1419
116,612,1420
313,305,1421
539,301,1422
102,480,1423
571,263,1424
427,270,1425
376,109,1426
69,285,1427
283,535,1428
78,1161,1429
397,300,1430
257,338,1431
100,266,1432
839,259,1433
1025,103,1434
574,256,1435
118,405,1436
517,279,1437
669,259,1438
630,510,1439
116,101,1440
1167,837,1441
105,388,1442
1014,358,1443
642,108,1444
105,727,1445
100,345,1446
105,332,1447
116,272,1448
99,382,1449
368,279,1450
1128,110,1451
461,909,1452
1212,296,1453
554,292,1454
115,266,1455
726,292,1456
466,279,1457
111,299,1458
344,321,1459
106,829,1460
109,375,1461
286,351,1462
306,373,1463
448,804,1464
522,387,1465
992,300,1466
118,257,1467
305,326,1468
274,482,1469
328,111,1470
447,287,1471
114,394,1472
105,122,1473
1294,32,1474
305,346,1475
1029,270,1476
1461,327,1477
1037,1008,1478
1192,275,1479
105,287,1480
109,374,1481
639,435,1482
313,678,1483
307,112,1484
483,261,1485
954,391,1486
101,307,1487
453,115,1488
389,688,1489
1193,340,1490
269,535,1491
483,453,1492
821,259,1493
104,402,1494
272,575,1495
353,83,1496
554,256,1497
576,363,1498
659,421,1499
106,434,1500
1500,290,1501
301,842,1502
99,349,1503
116,306,1504
1131,318,1505
289,399,1506
259,295,1507
110,683,1508
611,273,1509
264,783,1510
117,300,1511
112,1499,1512
273,358,1513
588,114,1514
256,257,1515
318,276,1516
294,487,1517
