pair0,pair1,idx
341,603,1926
273,101,1927
377,385,1928
641,115,1929
83,362,1930
301,427,1931
736,479,1932
1142,315,1933
434,650,1934
259,366,1935
1076,262,1936
102,880,1937
399,122,1938
270,547,1939
272,1028,1940
471,391,1941
889,297,1942
388,285,1943
292,423,1944
682,280,1945
296,887,1946
947,256,1947
1460,366,1948
411,393,1949
292,389,1950
258,289,1951
283,331,1952
284,121,1953
1220,840,1954
433,308,1955
1555,1858,1956
437,1391,1957
291,838,1958
618,110,1959
341,297,1960
999,575,1961
1135,256,1962
859,1772,1963
442,406,1964
1346,277,1965
105,759,1966
1052,101,1967
444,766,1968
407,472,1969
99,322,1970
328,292,1971
1286,452,1972
682,265,1973
345,307,1974
264,1672,1975
1414,282,1976
972,316,1977
886,274,1978
119,289,1979
447,1639,1980
1026,115,1981
958,293,1982
429,119,1983
733,756,1984
428,672,1985
789,383,1986
707,790,1987
273,878,1988
511,416,1989
97,578,1990
379,323,1991
115,276,1992
116,300,1993
119,581,1994
115,327,1995
292,476,1996
413,1207,1997
119,268,1998
115,375,1999
661,263,2000
327,457,2001
282,338,2002
1166,846,2003
484,1205,2004
99,296,2005
937,826,2006
607,285,2007
102,372,2008
747,282,2009
109,534,2010
1301,412,2011
310,121,2012
522,789,2013
281,114,2014
270,1361,2015
645,265,2016
465,259,2017
1281,298,2018
99,514,2019
519,1197,2020
262,99,2021
299,291,2022
98,1055,2023
430,426,2024
1921,501,2025
1543,1067,2026
722,260,2027
119,358,2028
664,323,2029
678,280,2030
442,625,2031
99,556,2032
262,107,2033
106,860,2034
919,116,2035
108,522,2036
583,362,2037
497,103,2038
115,869,2039
747,689,2040
714,596,2041
633,256,2042
1154,343,2043
260,379,2044
484,669,2045
856,445,2046
316,102,2047
1144,298,2048
115,322,2049
328,306,2050
673,364,2051
111,116,2052
359,522,2053
282,307,2054
303,781,2055
427,1068,2056
107,900,2057
296,790,2058
1121,267,2059
367,642,2060
115,457,2061
318,103,2062
310,306,2063
985,267,2064
114,292,2065
283,602,2066
100,359,2067
398,302,2068
1293,394,2069
98,464,2070
1176,701,2071
435,339,2072
99,792,2073
104,117,2074
99,108,2075
48,32,2076
50,1903,2077
310,636,2078
482,449,2079
909,266,2080
911,1871,2081
667,1065,2082
1042,256,2083
100,261,2084
820,412,2085
336,104,2086
947,101,2087
108,473,2088
111,39,2089
315,109,2090
493,452,2091
863,343,2092
267,313,2093
920,872,2094
281,816,2095
414,554,2096
747,115,2097
270,575,2098
381,418,2099
97,426,2100
432,260,2101
108,559,2102
119,587,2103
487,1073,2104
1299,266,2105
107,275,2106
102,1562,2107
1295,412,2108
378,1027,2109
539,1107,2110
898,1320,2111
63,1011,2112
107,408,2113
558,1053,2114
1231,469,2115
336,286,2116
112,319,2117
291,936,2118
285,477,2119
1034,441,2120
395,786,2121
906,32,2122
1257,956,2123
1064,452,2124
802,263,2125
331,375,2126
961,320,2127
1034,421,2128
428,260,2129
381,263,2130
522,109,2131
101,584,2132
645,269,2133
333,634,2134
276,108,2135
1208,786,2136
115,121,2137
485,586,2138
322,733,2139
102,785,2140
119,634,2141
1269,116,2142
1052,267,2143
746,302,2144
644,260,2145
372,866,2146
